PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV],E(LUMO)-E(HOMO) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageBeta [A.U.], AverageGamma [A.U.], S1, S2, INDOS-OscStr, CI-Coef**2 ,NsssCH,NdssC,NaasC,NsssN,NaasN,NsOH,NaaS,nBM,nDB,nC,nN,nO,nCsp3,nCsp2,nCsp,max_conj_path,nCs,nCrt,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR05,nR06,nBnz,DiradicalCharacter(PUHF),IsOK
69598240,-7.87708,-1.23715,6.63993,3.535,190.89103,737.0446,32954.30243,3.1781882,5.3923997,0.361655,0.022144035148038,0,2,1,0,0,2,0,8,2,9,0,3,0,9,0,10,0,0,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0.174685,1
69598332,-8.15402,-1.52764,6.62638,4.944,186.46912,512.0747,35541.88881,2.7497661,5.4984714,0.315291,0.013602591889023,0,3,0,1,0,0,0,3,3,10,2,1,6,4,0,6,2,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.171709,1
69598380,-7.75986,-1.15349,6.60637,3.689,189.1702,351.0814,34848.94536,2.9219033,4.8964889,0.310817,0.023215943429484,0,7,0,0,0,0,0,5,5,16,2,0,6,10,0,10,6,0,0,0,9,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.258142,1
69598404,-8.13663,-1.35006,6.78657,5.542,168.75539,705.0443,26729.10917,2.8692898,5.5222175,0.30005,0.015462144078797,0,3,0,0,0,0,0,3,3,9,0,3,2,7,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0.223213,1
69598413,-7.77692,-1.12324,6.65368,3.211,149.58276,540.3143,21888.88533,2.9798708,5.0177655,0.332246,0.024811728152412,0,0,6,0,0,0,0,12,0,13,3,0,0,13,0,12,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.28325,1
69598451,-7.89727,-1.38171,6.51556,4.389,171.90769,847.4557,27082.36406,2.8181005,5.0730819,0.283068,0.019953949696403,0,5,1,0,0,0,0,8,3,13,1,1,2,11,0,11,1,0,0,0,6,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0.304167,1
69598491,-8.0973,-1.22797,6.86933,6.096,186.27487,609.189,33699.623,3.0304515,5.7786382,0.331919,0.013775768542848,0,1,4,0,1,0,0,13,2,12,4,0,0,12,0,15,0,0,4,2,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0.159651,1
69598494,-8.01682,-1.42984,6.58698,1.812,187.66256,837.8809,34947.77235,3.0132223,5.7384422,0.345992,0.01533986285764,0,4,2,0,0,0,0,10,4,15,2,1,1,14,0,8,1,0,4,2,7,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0.125464,1
69598514,-8.3738,-1.61726,6.75654,4.029,179.87937,421.6902,34127.90235,2.9269662,5.2274559,0.306504,0.021237815824,0,3,0,1,0,1,0,4,4,6,3,3,1,5,0,6,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.27059,1
69598516,-8.43328,-1.71964,6.71364,5.668,159.61084,333.849,35851.45292,2.7084741,4.981007,0.246054,0.015442304686385,0,3,1,0,0,0,0,15,4,16,0,2,0,16,0,18,0,0,7,3,6,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.217565,1
69598529,-8.06641,-1.34018,6.72623,1.48,185.99616,213.5549,34504.15594,2.9458346,4.9181471,0.322984,0.02554869772816,0,1,4,0,0,1,0,13,1,16,0,1,0,16,0,8,0,0,8,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0.278696,1
69598530,-7.89193,-1.3492,6.54273,4.957,182.1307,421.3677,34985.13639,2.7886926,4.9510097,0.276916,0.0198063345956,0,5,1,0,0,0,0,10,4,14,2,0,1,13,0,14,0,0,0,0,8,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0.286455,1
69598584,-8.03162,-1.18834,6.84328,2.264,168.8077,406.9724,31500.09127,2.9421077,5.0204088,0.293152,0.020534013013364,0,5,1,0,0,0,0,9,3,17,1,0,4,13,0,12,2,0,5,1,6,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0.243284,1
69598602,-7.75239,-1.46532,6.28707,4.181,186.05313,1907.8224,70091.00254,2.6191417,5.5199734,0.351059,0.015908456531413,0,5,1,0,0,0,0,10,4,13,3,0,1,12,0,14,0,0,0,0,8,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.266417,1
69598642,-8.01073,-1.23438,6.77635,6.122,176.36584,794.9373,25499.46734,3.0847261,5.9818377,0.373812,0.014162206685705,0,2,1,0,0,1,0,7,2,7,1,2,1,6,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.191797,1
69705085,-9.48978,-2.70728,6.7825,4.095,185.12516,13916.7882,4042391.07449,2.8641789,7.5554097,0.32145,0.002859015234458,0,4,0,1,0,0,0,5,5,9,3,1,0,9,0,6,0,0,0,0,9,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0.226751,1
69705735,-9.81871,-2.50603,7.31268,5.484,167.40437,343.1602,45024.62348,3.0433503,6.4508236,0.233116,0.005060888217606,0,6,0,1,0,0,0,8,8,13,3,2,0,13,0,16,0,0,0,0,13,6,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0.170585,1
69714344,-8.89943,-1.58135,7.31808,4.779,140.33222,532.5997,30571.58521,3.10912,6.9947582,0.209826,0.003579816768665,0,6,0,0,0,0,0,7,7,14,1,1,1,13,0,14,0,0,0,0,13,9,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.067056,1
69715440,-9.03882,-2.37976,6.65906,8.253,188.17739,1627.5501,91965.22804,3.1179279,8.7932248,0.314436,0,1,5,0,0,0,0,0,6,6,15,1,0,3,12,0,8,1,1,0,0,8,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
69723601,-8.37735,-1.58345,6.7939,3.019,174.07938,928.2033,57532.82235,3.0042295,6.8141845,0.28949,0.005353537200337,0,5,1,0,0,0,0,10,4,14,2,0,1,13,0,14,0,0,0,0,8,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0
69734794,-9.02388,-2.32702,6.69686,2.421,156.66237,195.0242,27215.65667,4.3277032,16.0597985,0.000101,0,0,6,0,0,0,0,0,6,6,13,0,2,1,12,0,10,1,0,0,0,9,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
69764492,-9.37804,-1.55751,7.82053,3.755,170.55796,285.9392,37986.21507,3.7328757,7.185983,0.554019,0.005594390754836,0,0,4,0,0,0,0,7,1,8,3,0,1,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.058396,1
69807665,-8.29829,-1.73015,6.56814,5.818,187.39058,1833.7982,78290.2132,2.5915061,6.6146923,0.486879,0.00635554945089,0,0,4,0,0,0,0,7,1,8,3,1,1,7,0,8,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0.17902,1
698272,-8.82848,-1.22695,7.60153,6.595,192.15872,714.7206,29611.0995,3.8512269,12.8760494,0.090558,0,0,4,0,0,0,0,0,4,4,9,2,1,0,9,0,8,0,0,0,0,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
69845,-8.57914,-1.31298,7.26616,2.742,122.15912,159.3362,35524.67819,3.3582165,6.3413453,0.260225,0.016264184017832,0,0,0,0,0,0,0,19,1,14,2,0,0,14,0,16,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.12532,1
69848262,-8.24394,-1.00345,7.24049,3.929,192.7126,113.0815,30476.79078,3.7172438,12.3794075,0.049544,0,0,0,4,0,0,0,0,11,0,16,0,0,4,12,0,10,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.029627,0
69910299,-8.5673,-0.4673,8.1,1.275,193.13717,292.3279,18004.00262,4.7391841,14.8700029,0.005508,0,0,1,2,0,0,0,0,12,2,11,1,1,0,11,0,13,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0
69914480,-9.14239,-2.19925,6.94314,7.477,170.9352,1839.706,111070.92166,2.9848344,8.3339474,0.292349,0,0,0,2,0,0,0,0,16,0,17,0,0,1,16,0,14,1,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0.240349,1
69914635,-9.17649,-1.96055,7.21594,9.317,168.68553,1269.9536,79043.13729,2.9928066,6.7999778,0.189929,0.00388497903616,1,1,2,0,0,0,0,9,3,16,0,0,2,14,0,6,1,1,4,2,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0.228941,1
69915948,-9.56268,-2.30941,7.25327,4.574,164.84079,1515.9525,91596.20571,3.0514077,7.4638585,0.313097,0.003144664696836,0,2,4,1,0,0,0,9,3,14,4,0,2,12,0,12,1,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0.245951,1
69930327,-8.21663,-1.60654,6.61009,3.557,212.83494,1185.9791,76435.54325,2.8024376,5.8072437,0.408241,0.01044506484121,0,0,2,1,0,0,0,9,3,14,1,0,2,12,0,12,0,0,4,2,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.254539,1
699496,-9.26033,-1.2561,8.00423,4.399,195.61194,279.4219,52873.30433,4.4618483,8.3267406,0.590364,0.006451008432149,0,1,1,0,0,0,0,7,1,9,1,0,0,8,0,8,0,0,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
69966159,-9.33937,0.02626,9.36563,2.133,193.95569,131.09,13873.48253,5.4716412,11.2793728,0.158674,0.001945284544944,0,0,7,0,0,0,0,12,0,14,3,1,1,13,0,12,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0
699723,-8.00505,-0.82983,7.17522,2.787,187.35419,882.7412,31488.23155,3.9392276,7.0939959,0.561907,0.00910946360112,0,0,7,0,0,0,0,12,0,14,3,1,1,13,0,12,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0.087336,1
