,PubChem ID, E(LUMO/PM6) [eV],n, DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageGamma [A.U.],NaasC,NaasN,NaaS,nBM,nDB,nN,nO,nCsp3,nCsp,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR06, S1(CAS2-1+CIS) [eV], INDOS-OscStr(CAS2-1+CIS), CI-Coef**2(CAS2-1+CIS), DiradicalCharacter(PUHF),OK
66,12076122,0.11118,4.578275,5.734,128.26689,10229.98544,1,0,0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.9670514,0.000416,0.0,0.0,0
67,121004,-0.91555,3.642425,5.497,214.85677,37510.0782,1,0,1,10,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.7384733,0.202471,0.01829064,0.137036,1
68,1213077,-0.87873,3.65273,2.299,212.12431,77207.48982,3,0,0,10,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,3.5106137,0.242778,0.0,0.064941,1
69,121659,-1.95839,3.723115,2.217,164.52579,48535.79295,3,0,0,12,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2.6486945,0.001127,0.0,0.000577,0
70,1224201,-1.15443,3.77388,6.752,192.6814,30025.64514,2,0,0,13,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.2793257,0.007617,0.0,0.072131,1
71,12267491,-0.13384,4.20596,5.47,186.943,22516.50445,2,0,0,10,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5794719,0.035805,0.00423952,0.013261,0
72,12275330,-1.82622,3.87961,7.979,191.37214,51743.75221,6,0,0,14,2,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3.5340215,0.558133,0.0100561,0.085962,1
73,123071,-1.19327,3.76975,6.934,120.37815,17099.08979,0,0,0,6,6,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.7334581,0.000166,0.0,0.0,0
74,12321831,-0.22066,4.361055,5.017,123.41775,10269.23056,0,0,0,4,4,1,4,4,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,4.6006745,0.008208,0.00413448,0.012594,0
75,12330980,-0.61851,4.491645,5.248,146.08617,16345.12138,2,0,0,8,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3.1398921,0.001553,0.0,0.001344,0
76,1236689,-1.30693,3.981325,7.623,173.90106,53404.93247,1,0,0,16,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2.9901958,0.000146,0.0,0.0,0
77,12520314,-0.80478,4.022615,1.314,183.44194,59526.54384,1,0,0,16,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3.4556894,0.015151,0.0,0.021633,0
78,12581254,-1.88125,3.72572,6.371,193.27778,99511.89714,1,0,0,16,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2.9851168,0.207627,0.0,0.0,0
79,12586187,-1.21434,3.4492,0.52,159.76148,14911.74907,4,0,0,14,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,3.0822043,0.294583,0.06132198,0.38695,1
80,12605,-1.45489,3.445055,0.493,188.48006,68430.94296,4,1,0,12,2,5,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3.2456908,0.220194,0.0,0.000211,0
81,12724852,-1.48256,4.31016,1.508,126.83928,12574.52552,2,0,0,16,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,4.4608784,0.067058,0.0,0.039632,0
82,12756195,-1.13199,4.33503,1.073,164.12847,19215.22147,0,0,0,6,6,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.5902223,0.003072,0.0,0.005167,0
83,12756203,-1.21423,4.41784,6.868,158.50584,13742.33824,2,0,1,12,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4.5924001,0.105101,0.0,0.012915,0
84,1282460,-0.59384,4.315615,3.355,123.01378,17994.50684,2,0,0,14,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.9358515,0.016379,0.0,0.0,0
85,128646,-1.05409,4.1197,4.181,107.18712,9947.16305,3,0,0,8,2,2,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3.4234617,7.9e-05,0.02169935,0.0,0
86,128832,-0.94091,3.65389,1.466,182.81759,63435.44625,4,1,0,12,2,5,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3.3589096,0.337854,0.0,0.013898,0
87,12946084,-0.47178,4.53434,4.191,174.65971,14894.37562,4,1,0,12,2,5,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,4.4371214,0.16165,0.0,0.015254,0
88,129906,-1.11296,3.50263,2.573,224.28831,98598.97392,2,0,1,8,3,5,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3.2590727,0.38145,0.0,0.0,0
89,130624,-0.7224,3.61729,3.006,196.84608,16631.5023,1,0,0,17,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2.0510137,0.016433,0.08773612,0.385602,1
90,13082332,-1.28056,4.08878,2.636,204.81578,3739208.74645,5,0,0,15,3,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,4.0522341,0.726435,0.0,0.0,0
91,13082333,-1.42181,4.037865,2.652,200.96555,8039339.83665,2,0,0,8,2,2,3,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3.754749,0.364437,0.0,0.0,0
92,13120047,-0.80121,4.59974,3.688,146.74622,13078.01797,0,0,0,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.7921327,0.001398,0.0,0.009422,0
93,13161259,0.95396,4.76265,1.307,120.90791,4495.56401,3,0,0,13,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3.7023348,0.042311,0.03094643,0.034662,0
94,13164549,-0.70303,4.19933,5.302,202.70371,25304.08821,1,0,0,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4.4958382,0.002755,0.0,0.0,0
95,132584,-0.62744,3.84886,4.211,183.16759,31427.7141,0,1,0,20,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2.6239812,0.010027,0.0,0.01989,0
96,13287597,-1.4874,3.147145,0.759,224.24402,49918.33503,3,1,0,15,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2.7453739,0.246401,0.06414807,0.424779,1
97,13555739,-0.56928,4.16956,2.437,139.64449,18382.98603,3,0,0,14,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,3.2261229,0.00027,0.003337,0.018286,0
98,13601712,-1.43293,3.715435,3.45,203.12741,39190.50418,2,0,0,8,2,3,2,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,2.66371,0.000407,0.0,0.0,0
99,136051,-1.10967,3.65649,2.43,207.81847,67105.76791,3,0,0,8,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3.133269,0.137046,0.00616083,0.002152,0
100,136238,-1.2654,3.415475,0.683,193.97767,27552.51406,2,0,0,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.2816396,0.212366,0.03243629,0.19843,1
101,136611,-0.81859,3.991655,0.477,134.75549,8469.31062,1,0,0,10,4,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1.9928053,0.001099,0.0,0.1096,1
102,13731,-1.63155,3.806855,8.288,197.52201,58542.42901,2,0,0,16,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,3.4167274,3.8e-05,0.0,0.0,0
