,Unnamed: 0,PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageBeta [A.U.], AverageGamma [A.U.],NsssCH,NdssC,NaasC,NsssN,NaasN,NsOH,NaaS,nBM,nDB,nC,nN,nO,nCsp3,nCsp2,nCsp,max_conj_path,nCs,nCrt,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR05,nR06,nBnz, S1(CAS2-1+CIS) [eV], S2(CAS2-1+CIS) [eV], INDOS-OscStr(CAS2-1+CIS), CI-Coef**2(CAS2-1+CIS), T1(CAS2-1+CIS) [eV], T2(CAS2-1+CIS) [eV], DiradicalCharacter(PUHF)
35,85,147195,-8.23275,-1.21398,3.765,192.0009,342.6135,67492.25607,0,3,0,0,0,0,0,4,4,12,0,0,2,10,0,8,0,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.2404904,3.273631,0.102205,0.00855372678605,1.78512389999969,2.37013119999969,0.149243
36,86,147442,-8.87282,-2.10058,3.036,197.21467,456.8978,44486.72495,0,0,1,0,0,0,0,16,0,14,0,0,1,13,0,14,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2.5481517,2.8842354,0.255284,0.008091241768769,0.867276400000264,2.20569060000026,0.266425
37,87,147450,-8.04647,-1.17802,2.802,220.22911,803.3018,76897.87975,0,0,0,0,0,0,0,2,2,18,0,0,6,12,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.2487228,3.4025608,0.12055,0.009034757235796,1.78899289999981,2.36830859999981,0.148925
38,88,14809009,-8.41786,-0.53243,1.306,181.09249,571.5498,80367.17508,0,0,2,0,0,0,0,16,0,12,4,0,0,12,0,14,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3.7779284,4.3102946,0.894622,0.015900692994203,1.51903089999996,2.42646409999996,0.084859
39,91,149182,-7.41985,-0.26953,5.166,222.5255,920.0762,84396.26645,1,2,2,1,0,0,0,11,5,13,2,3,1,12,0,12,1,0,4,2,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2.8334273,3.2917711,0.22428,0.021723140006798,1.2960965999996,1.9916321999996,0.142511
40,92,149184,-8.24564,-1.26163,4.194,187.90238,571.2606,45670.9987,0,0,4,0,0,0,0,16,0,14,4,0,2,12,0,14,0,0,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3.2559302,3.2651485,0.162411,0.010947380399873,1.74846499999967,2.32361189999967,0.163523
41,94,149633,-8.8202,-1.50768,7.318,214.54769,1467.6863,117017.65176,0,0,4,0,0,0,1,12,2,7,4,2,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,2.9172077,3.0600991,0.003945,0.018314544519938,1.46757909999997,2.59407429999997,0.184512
42,96,1511466,-8.82409,-1.62331,3.027,170.57039,1521.7021,662749.95706,1,3,2,1,0,0,0,10,4,16,2,0,2,14,0,14,1,0,4,2,8,5,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,1,3.2649769,3.9895578,0.116723,0.022648109940552,1.38249700000006,2.48446190000006,0.11546
43,97,152522,-7.97079,-0.98375,3.051,195.84711,297.448,68985.69374,0,0,1,0,0,0,0,17,2,12,2,2,0,12,0,13,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2,3.4522579,3.5352787,0.134909,0.012263112832324,1.81078329999991,2.45742819999991,0.133836
44,98,154591,-8.74342,-0.86709,3.786,173.57035,627.2791,35266.60713,0,1,2,1,1,0,0,7,2,7,5,2,3,4,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.4825293,3.6739643,0.115944,0.0,2.10611659999995,2.83811379999995,0.056517
45,101,155464,-8.21692,-1.20406,2.691,187.84564,861.0484,50531.31595,1,5,0,0,0,0,0,7,7,16,0,2,3,13,0,10,1,1,0,0,9,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3.6168818,3.7871735,0.041541,0.019351130257556,1.75570650000009,2.56331470000009,0.134659
46,102,157253,-8.776,-1.4005,9.098,215.16534,611.9605,72538.71523,0,1,4,0,0,0,0,14,3,11,3,3,0,11,0,13,0,0,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,3.0273882,3.1030967,0.427217,0.019169529499565,1.54476819999991,2.72590229999991,0.168
47,105,167432,-8.56779,-1.11963,3.519,182.6706,276.1664,27038.06903,0,4,2,0,0,0,0,10,4,13,0,2,1,12,0,14,1,0,4,2,6,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2.1421081,3.0828262,0.030629,0.002175884767104,0.385672500000055,1.95556750000006,0.24572
48,107,17172,-7.96443,-0.97715,6.262,245.75629,1841.2069,119594.02881,0,0,3,0,0,1,0,15,4,10,2,5,0,10,0,10,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,2,3.1992896,3.8453592,0.79338,0.02433319520082,1.34567300000026,2.55431290000026,0.20961
49,109,174070,-9.87865,-1.63076,7.669,194.70266,55.0131,20104.30141,0,2,3,0,0,0,0,14,3,15,0,3,1,14,0,16,0,0,5,5,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,3.0056754,3.4776752,7.1e-05,0.00866563639236,1.93052059999991,2.82996809999991,0.050283
50,111,178018,-8.5439,-1.37103,3.398,206.95471,102.1546,26087.49302,0,2,2,0,0,1,0,14,3,15,0,3,1,14,0,16,0,0,6,4,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,3.6568485,3.6823998,0.430339,0.025247169765216,1.39076060000025,2.80933820000025,0.175129
51,113,17844512,-10.15638,-2.66927,5.835,187.66826,249.0722,28885.78531,0,0,3,0,0,0,0,11,0,10,5,0,3,7,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2.6679683,2.9377268,0.102303,0.018997406613966,1.27369150000004,2.79724480000004,0.230958
52,114,178999,-8.98293,-1.98841,11.048,214.78901,674.4105,22047.65238,0,3,0,1,0,0,0,5,5,11,2,2,3,8,0,8,0,0,0,0,7,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8931026,3.0936167,0.146441,0.016396072623123,1.63550619999978,1.75255089999978,0.057553
53,115,17900775,-7.10376,-0.66918,3.478,231.5303,409.2964,71762.12799,0,0,2,1,0,0,0,8,2,10,5,0,2,8,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.4323317,3.0070585,0.244293,0.047903993729436,0.84593010000026,1.95813660000026,0.315189
54,117,1797957,-7.96476,-0.66705,1.748,191.74681,1096.815,38583.50847,0,0,2,0,0,0,0,8,2,7,2,2,1,6,0,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,3.6874182,3.823532,0.196508,0.003761471935106,2.04070019999972,2.57930689999972,0.057744
55,118,17984059,-9.51922,-1.18386,5.269,168.64504,392.7767,55405.64814,0,0,4,0,0,3,0,16,0,15,0,3,1,14,0,14,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3.9731422,4.0049656,0.041064,0.007367264405873,2.30170999999973,2.91440039999973,0.062481
56,119,17985985,-8.26846,-0.74947,0.202,104.56881,136.1949,16131.87883,0,0,2,1,0,0,0,8,2,10,2,2,4,6,0,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2.9170706,3.242785,0.043715,0.110094332397716,0.506520599999931,2.08283229999993,0.439184
57,120,180896,-9.35808,-1.87051,4.585,183.26959,376.1483,23322.6471,0,0,1,0,0,0,0,12,6,17,0,1,0,17,0,18,0,0,5,1,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.9210795,3.0963643,0.046279,0.010093405100084,1.5188306,2.286081,0.106936
58,121,181408,-9.02755,-1.2302,5.204,189.71025,513.5506,28927.52288,0,0,2,0,0,0,1,17,1,15,1,0,0,15,0,17,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3.128653,3.3649701,0.157221,0.013696833100241,1.52611019999995,2.20802339999995,0.099013
59,128,18539628,-7.88176,-1.2015,1.515,189.49652,324.1212,32168.54713,0,1,3,0,0,0,0,14,3,11,1,5,0,11,0,8,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,3.0056217,3.2796197,0.279571,0.046691945000576,1.01914029999989,2.19099009999989,0.277324
60,130,18616864,-8.60222,-1.82067,2.595,143.33224,1118.335,34492.4598,0,0,5,0,0,0,0,12,0,11,5,0,2,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3.0207261,3.8639091,0.074171,0.021769470957936,1.32600390000016,1.98514850000016,0.155533
61,132,186694,-10.00932,-2.65736,5.729,159.96548,488.4681,34707.96451,0,0,4,0,0,0,0,10,4,7,3,5,1,6,0,6,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,2.9692116,3.0051041,0.007365,0.0,1.14582780000001,2.12255220000001,0.154063
62,133,18679144,-9.58997,-2.79641,2.706,156.88744,866.6761,43780.91365,0,1,5,0,0,0,0,15,3,13,2,3,0,13,0,14,0,0,7,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,2,2.2572808,2.4622205,0.000872,0.009816711651662,1.17973130000019,2.17283040000019,0.125879
63,134,18761438,-9.42608,-2.06282,5.572,147.36886,316.2769,17345.05887,0,4,0,0,0,1,0,4,4,7,3,4,2,5,0,8,0,0,0,0,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2.4857604,2.5964943,0.075672,0.020044732167536,0.995956200000364,2.39239900000036,0.24158
64,135,18865,-7.9598,-1.02442,2.046,198.23638,214.7064,87101.11403,0,1,3,1,0,0,0,13,1,16,1,1,3,13,0,8,1,0,9,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3.4084117,3.8728911,0.213237,0.011378237160192,1.92744560000028,2.68687520000028,0.124464
65,137,18944,-9.4173,-1.71086,2.949,183.54313,1742.3524,144101.2871,0,1,5,0,0,0,0,13,1,13,3,0,0,13,0,14,0,0,7,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3.0012363,3.0981806,0.001952,0.0,1.52496699999983,2.16039709999983,0.093763
