PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV],E(LUMO) – E(HOMO) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageBeta [A.U.], AverageGamma [A.U.], S1, S2, INDOS-OscStr,nBM,nDB,nAB,nC,nN,nO,nCsp3,nCsp2,nCsp,Fsp3,max_conj_path,nR05,nR06,nR08,nBnz,HOMA,AROM,HOMT,nCs,nCrt,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,NaaCH,NsssCH,NdssC,NaasC,NsssN,NtN,NaasN,NaaNH,NsOH,NaaS,DRC(PUHF)
70257494,-9.4916,-2.4497,7.0419,7.634,156.49874,832.2808,38100.91491,3.0246546,6.919315,0.151075,12,1,11,9,5,1,0,9,0,0,10,1,2,0,1,-0.465,0.859,-5.118,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,3,0,0,0,0,0,0,0.155
70410425,-7.71548,-0.98491,6.73057,2.255,143.82284,464.9256,13921.26679,3.0336533,4.4330568,0.183207,6,0,6,8,5,0,0,8,0,0,6,1,2,0,1,0.141,0.905,0.845,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0.290
70443878,-9.21479,-1.8261,7.38869,4.181,121.48455,199.4181,20657.29144,2.4841947,4.7344111,0.121444,4,3,0,8,2,0,0,7,1,0,4,0,0,0,0,-1.758,0,-5.275,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0.411
70470509,-9.03057,-2.03914,6.99143,4.297,181.041,252.9164,19346.04051,2.6919912,5.0300575,0.107431,7,1,6,13,2,1,5,8,0,0.385,6,1,1,0,1,-0.552,0.873,-3.31,2,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,0,0,0,0,0,0.235
70499014,-8.78697,-1.77557,7.0114,4.36,171.67612,240.3422,21631.64298,3.5424351,5.6962049,0.482106,12,0,12,12,3,0,0,12,0,0,12,0,2,0,1,-0.026,0.754,-0.342,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0.233
70507279,-7.84646,-1.09202,6.75444,2.945,142.71136,319.4334,20542.49225,2.9047341,5.3954731,0.155097,5,5,0,9,4,0,0,9,0,0,8,1,2,0,0,0.166,0,1.33,0,0,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0.271
70536460,-8.67048,-2.27473,6.39575,7.116,192.57625,901.283,20220.87569,2.7938691,4.6162129,0.474945,7,7,0,12,2,2,0,12,0,0,14,0,3,0,0,-0.011,0,-0.158,0,0,0,0,12,8,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0.370
70541151,-9.23874,-1.82889,7.40985,6.175,174.83199,154.8991,14054.03084,2.6764889,5.0436373,0.109523,7,1,6,13,2,1,5,8,0,0.385,6,1,2,0,1,-0.602,0.871,-3.61,2,1,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,0,0,0,0,0,0.230
70585318,-7.95474,-1.46997,6.48477,2.419,129.79691,936.8324,11274.32457,0.8853267,3.739642,0.02602,2,2,0,8,3,1,3,5,0,0.375,4,0,4,0,0,na,na,na,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.598
70587616,-8.0007,-0.95866,7.04204,1.153,222.84767,478.0253,36534.03604,2.766704,3.9138223,0.104328,12,1,11,16,2,0,3,13,0,0.188,13,1,2,0,1,0.7,0.757,9.802,2,0,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,5,0,0,1,0,0,0,0.423
